fecha,cierre_ajustado,cerrar,apertura,alto,bajo,volumen,dia,mes,año,año_mes,retorno_diario,tasa_variacion_ac,retorno_acumulado,media_movil_5d,volatilidad,tipo
06/16/2025,502.8480,502.8480,504.0788,506.3378,484.7266,10270145,16,Junio,2025,2025-06,0.0000,-0.0024,0.0000,0.0000,0.0000,prediccion
06/17/2025,502.8606,502.8606,503.6498,505.7132,495.4001,14556898,17,Junio,2025,2025-06,0.0000,-0.0016,0.0000,0.0000,0.0000,prediccion
06/18/2025,502.8693,502.8693,501.6802,507.7631,496.5386,13133492,18,Junio,2025,2025-06,0.0000,0.0024,0.0000,0.0000,0.0000,prediccion
06/19/2025,502.8754,502.8754,500.5459,512.9411,481.8455,10142021,19,Junio,2025,2025-06,0.0000,0.0047,0.0001,0.0000,0.0000,prediccion
06/20/2025,502.8796,502.8796,500.5923,520.7422,492.6670,13051791,20,Junio,2025,2025-06,0.0000,0.0046,0.0001,502.8666,0.0126,prediccion
06/23/2025,502.8826,502.8826,504.3826,506.1541,495.4338,10382964,23,Junio,2025,2025-06,0.0000,-0.0030,0.0001,502.8735,0.0088,prediccion
06/24/2025,502.8847,502.8847,501.3723,507.4544,485.4167,12903814,24,Junio,2025,2025-06,0.0000,0.0030,0.0001,502.8783,0.0061,prediccion
06/25/2025,502.8861,502.8861,502.4779,504.5082,499.7277,14203211,25,Junio,2025,2025-06,0.0000,0.0008,0.0001,502.8817,0.0043,prediccion
06/26/2025,502.8871,502.8871,503.4113,530.5749,499.8596,16217016,26,Junio,2025,2025-06,0.0000,-0.0010,0.0001,502.8840,0.0030,prediccion
06/27/2025,502.8878,502.8878,505.1042,512.9947,490.5616,11165845,27,Junio,2025,2025-06,0.0000,-0.0044,0.0001,502.8856,0.0021,prediccion
06/30/2025,502.8883,502.8883,501.7295,513.8093,490.0768,15287751,30,Junio,2025,2025-06,0.0000,0.0023,0.0001,502.8868,0.0014,prediccion
07/01/2025,502.8886,502.8886,503.2263,507.6538,496.1411,14719450,1,Julio,2025,2025-07,0.0000,-0.0007,0.0001,502.8876,0.0010,prediccion
07/02/2025,502.8888,502.8888,500.7784,508.4647,473.6969,9552400,2,Julio,2025,2025-07,0.0000,0.0042,0.0001,502.8881,0.0007,prediccion
07/03/2025,502.8890,502.8890,505.6538,518.3800,493.2526,14009365,3,Julio,2025,2025-07,0.0000,-0.0055,0.0001,502.8885,0.0005,prediccion
07/04/2025,502.8891,502.8891,502.7079,511.1147,494.7358,13417067,4,Julio,2025,2025-07,0.0000,0.0004,0.0001,502.8888,0.0003,prediccion
07/07/2025,502.8892,502.8892,504.8896,561.8155,487.4141,12378638,7,Julio,2025,2025-07,0.0000,-0.0040,0.0001,502.8889,0.0002,prediccion
07/08/2025,502.8892,502.8892,503.1081,506.3307,493.1554,10994579,8,Julio,2025,2025-07,0.0000,-0.0004,0.0001,502.8891,0.0002,prediccion
07/09/2025,502.8893,502.8893,502.9370,512.4433,493.9324,9656615,9,Julio,2025,2025-07,0.0000,-0.0001,0.0001,502.8892,0.0001,prediccion
07/10/2025,502.8893,502.8893,500.8564,512.3792,491.4106,15825566,10,Julio,2025,2025-07,0.0000,0.0041,0.0001,502.8892,0.0001,prediccion
07/11/2025,502.8893,502.8893,505.8015,529.5980,499.8617,16016818,11,Julio,2025,2025-07,0.0000,-0.0058,0.0001,502.8893,0.0001,prediccion
07/14/2025,502.8893,502.8893,501.1240,506.0447,488.9013,15742251,14,Julio,2025,2025-07,0.0000,0.0035,0.0001,502.8893,0.0000,prediccion
07/15/2025,502.8893,502.8893,502.1552,520.6962,499.8414,10783499,15,Julio,2025,2025-07,0.0000,0.0015,0.0001,502.8893,0.0000,prediccion
07/16/2025,502.8894,502.8894,502.0276,518.2034,497.9318,14517658,16,Julio,2025,2025-07,0.0000,0.0017,0.0001,502.8893,0.0000,prediccion
07/17/2025,502.8894,502.8894,497.8043,503.1013,478.8780,11395133,17,Julio,2025,2025-07,0.0000,0.0102,0.0001,502.8893,0.0000,prediccion
07/18/2025,502.8894,502.8894,503.0408,521.0168,499.4039,10919025,18,Julio,2025,2025-07,0.0000,-0.0003,0.0001,502.8894,0.0000,prediccion
07/21/2025,502.8894,502.8894,502.2380,505.7885,502.1752,10938386,21,Julio,2025,2025-07,0.0000,0.0013,0.0001,502.8894,0.0000,prediccion
07/22/2025,502.8894,502.8894,505.7629,513.1424,495.0650,13968587,22,Julio,2025,2025-07,0.0000,-0.0057,0.0001,502.8894,0.0000,prediccion
07/23/2025,502.8894,502.8894,506.3694,519.6664,501.7363,15544808,23,Julio,2025,2025-07,0.0000,-0.0069,0.0001,502.8894,0.0000,prediccion
07/24/2025,502.8894,502.8894,500.3987,506.9406,488.2503,9187685,24,Julio,2025,2025-07,0.0000,0.0050,0.0001,502.8894,0.0000,prediccion
07/25/2025,502.8894,502.8894,505.0860,513.8145,486.5164,10412798,25,Julio,2025,2025-07,0.0000,-0.0043,0.0001,502.8894,0.0000,prediccion
